PUERTO;MUELLE;GIRASOL;TRIGO;MAIZ;SOJA;CEBADA;SORGO;MES
BAHIA BLANCA;A.D.M. AGRO;0;139.235;17.800;0;9.302;0;01-22
BAHIA BLANCA;CARGILL;0;86.024;229.586;0;730;0;01-22
BAHIA BLANCA;DREYFUS;0;79.956;66.188;0;10.013;0;01-22
BAHIA BLANCA;PUERTO GALVAN;0;87.325;0;0;57.201;0;01-22
BAHIA BLANCA;TERMINAL;0;202.766;100.393;0;64.999;0;01-22
NECOCHEA;A.C.A.;0;60.914;0;0;128.946;0;01-22
NECOCHEA;SITIO 0;0;109.900;0;0;165.472;0;01-22
NECOCHEA;TERMINAL QUEQUEN;0;215.061;0;0;216.572;0;01-22
RAMALLO;BUNGE;0;85.274;23.769;0;0;0;01-22
ROSARIO;ARROYO SECO;0;179.738;286.007;0;0;0;01-22
ROSARIO;PUNTA ALVEAR;0;221.593;80.001;0;0;0;01-22
ROSARIO;SERVICIOS PORTUARIOS UNID.VI-VII;0;0;0;0;0;38.616;01-22
ROSARIO;GENERAL LAGOS;0;37.030;137.490;0;0;0;01-22
SAN LORENZO;A.C.A.;0;84.458;37.364;0;0;0;01-22
SAN LORENZO;COFCO PGSM;0;32.116;184.005;0;0;0;01-22
SAN LORENZO;DEMPA;0;128.155;0;0;0;0;01-22
SAN LORENZO;EL TRANSITO;0;133.785;52.683;0;0;0;01-22
SAN LORENZO;QUEBRACHO;0;62.057;84.960;0;0;0;01-22
SAN LORENZO;RENOVA;0;107.368;0;0;0;0;01-22
SAN LORENZO;SAN BENITO;0;135.879;0;0;0;0;01-22
SAN LORENZO;TERMINAL 6;0;0;247.474;0;0;0;01-22
SAN LORENZO;TIMBUES A.G.D.;0;50.830;34.262;0;0;0;01-22
SAN LORENZO;TIMBUES COFCO;0;226.064;34.264;0;0;0;01-22
SAN LORENZO;TIMBUES DREYFUS;0;48.511;75.280;0;0;0;01-22
SAN LORENZO;VICENTIN;0;0;26.331;0;0;0;01-22
ZARATE;LAS PALMAS;0;6.600;7.500;0;0;0;01-22
ZARATE;LIMA;0;140.370;0;0;0;0;01-22
ZARATE;TERMINAL DEL GUAZU;0;60.640;0;0;0;0;01-22
BAHIA BLANCA;A.D.M. AGRO;0;126.168;12.790;0;10.011;0;02-22
BAHIA BLANCA;CARGILL;0;103.252;190.428;0;0;0;02-22
BAHIA BLANCA;DREYFUS;0;20.081;115.732;0;61.463;0;02-22
BAHIA BLANCA;PUERTO GALVAN;0;22.168;0;0;144.605;0;02-22
BAHIA BLANCA;TERMINAL;0;123.162;80.783;0;93.963;0;02-22
NECOCHEA;A.C.A.;0;103.452;22.980;0;109.524;0;02-22
NECOCHEA;SITIO 0;0;24.636;0;0;241.264;0;02-22
NECOCHEA;TERMINAL QUEQUEN;0;196.994;6.100;0;74.318;0;02-22
RAMALLO;BUNGE;0;41.961;8.960;0;0;0;02-22
ROSARIO;ARROYO SECO;0;116.220;160.470;0;0;0;02-22
ROSARIO;PUNTA ALVEAR;0;175.355;197.439;0;0;0;02-22
ROSARIO;GENERAL LAGOS;0;96.720;122.460;0;0;0;02-22
SAN LORENZO;A.C.A.;0;24.500;22.990;0;0;0;02-22
SAN LORENZO;COFCO PGSM;0;28.100;156.781;0;0;0;02-22
SAN LORENZO;DEMPA;0;130.708;0;0;0;0;02-22
SAN LORENZO;EL TRANSITO;0;121.482;94.641;0;0;0;02-22
SAN LORENZO;QUEBRACHO;0;201.239;161.560;0;0;0;02-22
SAN LORENZO;RENOVA;0;61.097;26.537;0;0;0;02-22
SAN LORENZO;SAN BENITO;0;80.987;38.076;0;0;0;02-22
SAN LORENZO;TERMINAL 6;0;61.804;150.394;0;0;0;02-22
SAN LORENZO;TIMBUES A.G.D.;0;57.763;33.099;0;0;0;02-22
SAN LORENZO;TIMBUES COFCO;0;247.152;38.610;0;0;0;02-22
SAN LORENZO;TIMBUES DREYFUS;0;44.923;15.400;0;0;0;02-22
SAN LORENZO;VICENTIN;0;0;29.530;0;0;0;02-22
ZARATE;LAS PALMAS;0;35.113;37.720;0;0;0;02-22
ZARATE;LIMA;0;101.406;5.500;0;0;0;02-22
ZARATE;TERMINAL DEL GUAZU;0;55.840;0;0;0;0;02-22
BAHIA BLANCA;CARGILL;0;157.905;139.150;0;0;0;03-22
BAHIA BLANCA;DREYFUS;0;52.408;102.937;0;10.840;0;03-22
BAHIA BLANCA;PUERTO GALVAN;0;23.594;0;0;48.710;0;03-22
BAHIA BLANCA;TERMINAL;0;163.245;146.837;0;0;0;03-22
NECOCHEA;A.C.A.;0;0;32.013;0;197.019;0;03-22
NECOCHEA;SITIO 0;0;5.032;0;0;157.025;0;03-22
NECOCHEA;TERMINAL QUEQUEN;0;42.600;29.692;0;108.767;0;03-22
RAMALLO;BUNGE;0;99.319;4.450;0;0;0;03-22
ROSARIO;ARROYO SECO;0;155.770;179.311;0;0;0;03-22
ROSARIO;GENERAL LAGOS;0;99.275;158.610;0;0;0;03-22
ROSARIO;PUNTA ALVEAR;0;145.156;232.615;0;0;0;03-22
ROSARIO;SERVICIOS PORTUARIOS UNID.VI-VII;0;65.742;24.700;0;0;74.490;03-22
SAN LORENZO;A.C.A.;0;73.545;62.172;0;0;0;03-22
SAN LORENZO;COFCO PGSM;0;40.831;278.995;0;0;0;03-22
SAN LORENZO;DEMPA;0;35.915;0;0;0;0;03-22
SAN LORENZO;EL TRANSITO;0;81.314;67.236;0;0;0;03-22
SAN LORENZO;PAMPA;0;0;115.282;0;0;0;03-22
SAN LORENZO;QUEBRACHO;0;90.843;127.083;0;0;0;03-22
SAN LORENZO;RENOVA;0;51.452;217.490;0;0;0;03-22
SAN LORENZO;SAN BENITO;0;0;179.168;0;0;0;03-22
SAN LORENZO;TERMINAL 6;0;69.017;265.627;0;0;0;03-22
SAN LORENZO;TIMBUES A.G.D.;0;50.920;139.054;0;0;0;03-22
SAN LORENZO;TIMBUES COFCO;0;388.642;84.566;0;0;0;03-22
SAN LORENZO;TIMBUES DREYFUS;0;77.323;200.960;0;0;0;03-22
VILLA CONSTITUCION;SERVICIOS PORTUARIOS;0;0;19.950;0;0;0;03-22
ZARATE;LAS PALMAS;0;3.400;46.198;0;32.100;0;03-22
ZARATE;LIMA;0;34.493;72.372;0;0;0;03-22
ZARATE;TERMINAL DEL GUAZU;0;40.489;35.477;0;0;0;03-22
BAHIA BLANCA;A.D.M. AGRO;0;98.245;86.383;0;10.242;0;04-22
BAHIA BLANCA;CARGILL;0;49.223;222.792;0;0;0;04-22
BAHIA BLANCA;DREYFUS;0;11.120;83.026;0;22.861;0;04-22
BAHIA BLANCA;PUERTO GALVAN;0;13.750;104.643;0;31.500;0;04-22
BAHIA BLANCA;TERMINAL;0;98.669;218.376;0;99.000;0;04-22
NECOCHEA;A.C.A.;0;52.381;21.139;0;72.115;0;04-22
NECOCHEA;SITIO 0;0;34.845;0;0;88.039;0;04-22
NECOCHEA;TERMINAL QUEQUEN;0;88.756;60.644;0;126.230;0;04-22
RAMALLO;BUNGE;0;52.574;111.881;0;0;0;04-22
ROSARIO;ARROYO SECO;0;130.300;333.742;0;0;0;04-22
ROSARIO;GENERAL LAGOS;0;139.860;173.160;0;0;0;04-22
ROSARIO;PUNTA ALVEAR;0;101.173;304.339;0;0;0;04-22
ROSARIO;SERVICIOS PORTUARIOS UNID.VI-VII;0;115.442;50.600;0;0;57.715;04-22
SAN LORENZO;A.C.A.;0;22.850;142.746;0;0;33.000;04-22
SAN LORENZO;COFCO PGSM;0;15.147;371.892;0;0;0;04-22
SAN LORENZO;DEMPA;0;123.343;0;0;0;0;04-22
SAN LORENZO;EL TRANSITO;0;144.900;109.733;0;0;0;04-22
SAN LORENZO;PAMPA;0;0;139.621;0;0;0;04-22
SAN LORENZO;QUEBRACHO;0;9.358;206.211;0;0;0;04-22
SAN LORENZO;RENOVA;0;7.566;218.957;0;0;0;04-22
SAN LORENZO;SAN BENITO;0;0;169.337;0;0;0;04-22
SAN LORENZO;TERMINAL 6;0;50.900;290.045;0;0;0;04-22
SAN LORENZO;TIMBUES A.G.D.;0;32.299;177.961;0;0;0;04-22
SAN LORENZO;TIMBUES COFCO;0;353.526;106.244;0;0;0;04-22
VILLA CONSTITUCION;SERVICIOS PORTUARIOS;0;0;19.806;0;0;0;04-22
ZARATE;LIMA;0;10.165;67.944;0;0;0;04-22
ZARATE;TERMINAL DEL GUAZU;0;7.070;30.395;0;0;0;04-22
BAHIA BLANCA;A.D.M. AGRO;0;176.329;90.347;0;5.585;0;05-22
