PUERTO;MUELLE;GIRASOL;TRIGO;MAIZ;SOJA;CEBADA;SORGO;MES
BAHIA BLANCA;CARGILL;0;31.610;204.606;9.760;0;0;05-22
BAHIA BLANCA;DREYFUS;0;98.443;51.849;35.680;0;0;05-22
BAHIA BLANCA;PUERTO GALVAN;0;20.847;83.041;0;56.475;0;05-22
BAHIA BLANCA;TERMINAL;0;83.390;337.165;0;22.000;0;05-22
NECOCHEA;A.C.A.;0;76.741;33.844;77.788;50.934;0;05-22
NECOCHEA;SITIO 0;14.966;0;12.635;0;69.243;15.490;05-22
NECOCHEA;TERMINAL QUEQUEN;0;27.500;48.788;20.860;5.500;0;05-22
RAMALLO;BUNGE;0;32.924;84.605;0;0;0;05-22
ROSARIO;ARROYO SECO;0;33.000;258.510;0;0;0;05-22
ROSARIO;GENERAL LAGOS;0;63.130;147.163;0;0;0;05-22
ROSARIO;PUNTA ALVEAR;0;101.028;306.490;0;0;0;05-22
ROSARIO;SERVICIOS PORTUARIOS UNID.VI-VII;0;11.110;0;0;0;191.687;05-22
SAN LORENZO;A.C.A.;0;27.500;117.410;0;0;104.768;05-22
SAN LORENZO;COFCO PGSM;0;4.500;326.997;0;0;0;05-22
SAN LORENZO;DEMPA;0;27.500;0;0;0;0;05-22
SAN LORENZO;EL TRANSITO;0;0;147.450;0;0;0;05-22
SAN LORENZO;PAMPA;0;0;119.703;0;0;0;05-22
SAN LORENZO;QUEBRACHO;0;0;21.563;0;0;0;05-22
SAN LORENZO;RENOVA;0;0;305.109;0;0;0;05-22
SAN LORENZO;SAN BENITO;0;0;189.619;0;0;0;05-22
SAN LORENZO;TERMINAL 6;0;59.522;140.502;0;0;0;05-22
SAN LORENZO;TIMBUES A.G.D.;0;34.647;198.049;0;0;80.799;05-22
SAN LORENZO;TIMBUES COFCO;0;288.172;35.910;0;0;0;05-22
SAN LORENZO;TIMBUES DREYFUS;0;0;42.415;0;0;0;05-22
ZARATE;LAS PALMAS;0;0;30.710;0;0;9.153;05-22
ZARATE;LIMA;0;11.750;97.573;0;0;0;05-22
ZARATE;TERMINAL DEL GUAZU;0;0;32.648;73.140;0;0;05-22
BAHIA BLANCA;A.D.M. AGRO;0;54.365;176.748;0;22.960;0;06-22
BAHIA BLANCA;CARGILL;0;17.540;199.769;0;0;0;06-22
BAHIA BLANCA;DREYFUS;0;35.000;96.915;28.250;16.691;0;06-22
BAHIA BLANCA;PUERTO GALVAN;0;34.350;17.988;0;64.999;0;06-22
BAHIA BLANCA;TERMINAL;0;95.355;250.395;0;12.675;0;06-22
NECOCHEA;A.C.A.;0;16.900;33.719;136.791;59.500;0;06-22
NECOCHEA;SITIO 0;0;0;0;30.985;62.992;0;06-22
NECOCHEA;TERMINAL QUEQUEN;0;92.894;62.022;0;30.450;0;06-22
RAMALLO;BUNGE;0;0;40.213;0;0;0;06-22
ROSARIO;ARROYO SECO;0;65.100;399.336;0;0;0;06-22
ROSARIO;GENERAL LAGOS;0;27.800;153.344;0;0;0;06-22
ROSARIO;PUNTA ALVEAR;0;86.507;297.907;0;0;0;06-22
ROSARIO;SERVICIOS PORTUARIOS UNID.VI-VII;0;0;57.106;0;0;197.513;06-22
SAN LORENZO;A.C.A.;0;27.500;102.927;0;0;0;06-22
SAN LORENZO;COFCO PGSM;0;0;146.357;0;0;0;06-22
SAN LORENZO;DEMPA;0;33.000;0;0;0;0;06-22
SAN LORENZO;EL TRANSITO;0;19.351;278.345;0;0;0;06-22
SAN LORENZO;PAMPA;0;0;99.400;0;0;0;06-22
SAN LORENZO;QUEBRACHO;0;0;131.526;0;0;0;06-22
SAN LORENZO;RENOVA;0;0;159.458;0;0;0;06-22
SAN LORENZO;SAN BENITO;0;0;119.185;0;0;0;06-22
SAN LORENZO;TERMINAL 6;0;0;261.049;0;0;0;06-22
SAN LORENZO;TIMBUES COFCO;0;62.400;154.295;0;0;0;06-22
SAN LORENZO;TIMBUES DREYFUS;0;0;59.669;0;0;0;06-22
SAN PEDRO;SERVICIOS PORTUARIOS;4.007;0;17.350;53.214;0;0;06-22
VILLA CONSTITUCION;SERVICIOS PORTUARIOS;0;0;27.500;0;0;25.400;06-22
ZARATE;LAS PALMAS;0;0;10.170;0;0;11.800;06-22
ZARATE;LIMA;0;0;19.694;0;0;0;06-22
ZARATE;TERMINAL DEL GUAZU;0;0;11.000;0;0;0;06-22
BAHIA BLANCA;A.D.M. AGRO;0;0;294.369;0;18.571;0;07-22
BAHIA BLANCA;CARGILL;0;48.251;159.293;69.110;0;0;07-22
BAHIA BLANCA;DREYFUS;0;67.750;109.901;68.206;5.520;0;07-22
BAHIA BLANCA;PUERTO GALVAN;0;37.612;107.033;0;0;0;07-22
BAHIA BLANCA;TERMINAL;0;27.500;290.946;0;26.012;0;07-22
NECOCHEA;A.C.A.;0;0;44.064;142.271;27.310;0;07-22
NECOCHEA;CAMARA PORTUARIA;0;33.000;0;0;0;0;07-22
NECOCHEA;SITIO 0;0;0;48.329;0;65.274;17.976;07-22
NECOCHEA;TERMINAL QUEQUEN;0;0;114.122;69.300;25.000;0;07-22
RAMALLO;BUNGE;0;27.171;1.400;48.300;0;0;07-22
ROSARIO;ARROYO SECO;0;0;435.452;0;0;0;07-22
ROSARIO;GENERAL LAGOS;0;95.420;238.275;0;0;0;07-22
ROSARIO;PUNTA ALVEAR;0;120.928;280.982;0;0;0;07-22
ROSARIO;SERVICIOS PORTUARIOS UNID.VI-VII;0;59.330;8.467;0;0;118.042;07-22
SAN LORENZO;A.C.A.;0;0;248.659;0;0;37.129;07-22
SAN LORENZO;COFCO PGSM;0;0;238.156;0;0;0;07-22
SAN LORENZO;DEMPA;0;29.527;0;0;0;0;07-22
SAN LORENZO;EL TRANSITO;0;27.000;267.739;0;0;0;07-22
SAN LORENZO;PAMPA;0;0;161.984;0;0;0;07-22
SAN LORENZO;QUEBRACHO;0;0;176.882;235.201;0;0;07-22
SAN LORENZO;RENOVA;0;13.917;361.233;0;0;0;07-22
SAN LORENZO;SAN BENITO;0;0;250.101;0;0;0;07-22
SAN LORENZO;TERMINAL 6;0;0;131.504;0;0;0;07-22
SAN LORENZO;TIMBUES A.G.D.;0;0;358.214;0;0;43.508;07-22
SAN LORENZO;TIMBUES COFCO;0;28.390;190.044;0;0;0;07-22
SAN LORENZO;TIMBUES DREYFUS;0;0;104.091;0;0;0;07-22
ZARATE;LAS PALMAS;0;0;12.387;0;0;5.265;07-22
ZARATE;LIMA;0;0;73.007;0;0;0;07-22
