POSICION;FECHA;ANTERIOR;PRIMERO;MINIMO;MAXIMO;ULTIMO;VOLUMEN;AJUSTE;VAR %;IA;VAR. IA;TRADES,,,,,,,,,
MAI.ROS/DIC22;01-09-2022;241,000000;240,500000;239,300000;241,500000;240,500000;376;240,500000;-0,207469;8750,000000;96,000000;181
MAI.ROS/DIC22;09-09-2022;248,000000;250,000000;249,500000;252,500000;250,200000;442;250,000000;0,806452;8937,000000;126,000000;236
MAI.ROS/DIC22;08-09-2022;245,100000;245,000000;244,500000;248,000000;248,000000;314;248,000000;1,183191;8811,000000;-55,000000;153
MAI.ROS/DIC22;12-09-2022;250,000000;248,000000;248,000000;255,000000;252,500000;254;252,500000;1,000000;8993,000000;56,000000;182
MAI.ROS/DIC22;07-09-2022;242,500000;244,000000;242,500000;245,500000;245,100000;210;245,100000;1,072165;8866,000000;59,000000;135
MAI.ROS/DIC22;13-09-2022;252,500000;253,000000;251,000000;253,500000;252,000000;222;252,000000;-0,198020;9005,000000;12,000000;139
MAI.ROS/DIC22;15-09-2022;251,500000;252,000000;250,500000;252,500000;250,500000;130;250,500000;-0,397614;9047,000000;29,000000;88
MAI.ROS/DIC22;14-09-2022;252,000000;251,000000;250,000000;253,000000;251,500000;94;251,500000;-0,198413;9018,000000;13,000000;70
MAI.ROS/DIC22;16-09-2022;250,500000;250,700000;249,000000;252,000000;249,500000;109;249,100000;-0,558882;9070,000000;23,000000;74
MAI.ROS/DIC22;22-06-2022;255,000000;255,100000;251,400000;255,500000;251,500000;276;251,500000;-1,372549;5335,000000;146,000000;151
MAI.ROS/DIC22;16-06-2022;258,000000;259,500000;259,500000;262,000000;260,000000;336;260,000000;0,775194;5150,000000;157,000000;162
MAI.ROS/DIC22;21-06-2022;260,000000;257,000000;254,000000;257,000000;255,000000;199;255,000000;-1,923077;5189,000000;39,000000;111
MAI.ROS/DIC22;15-06-2022;259,500000;259,500000;257,200000;260,000000;258,000000;364;258,000000;-0,578035;4993,000000;265,000000;166
MAI.ROS/DIC22;13-06-2022;261,000000;259,000000;256,500000;260,500000;259,000000;149;259,000000;-0,766284;4549,000000;62,000000;90
MAI.ROS/DIC22;14-06-2022;259,000000;257,500000;257,000000;259,600000;259,500000;367;259,500000;0,193050;4728,000000;179,000000;185
MAI.ROS/DIC22;09-06-2022;261,400000;262,900000;259,000000;264,000000;259,000000;137;259,000000;-0,918133;4406,000000;50,000000;69
MAI.ROS/DIC22;08-06-2022;261,500000;265,000000;260,500000;265,000000;261,400000;135;261,400000;-0,038241;4356,000000;71,000000;84
MAI.ROS/DIC22;10-06-2022;259,000000;257,000000;257,000000;261,500000;261,500000;209;261,000000;0,772201;4487,000000;81,000000;127
MAI.ROS/DIC22;06-06-2022;257,100000;260,000000;260,000000;264,500000;263,000000;98;263,000000;2,294827;4233,000000;26,000000;87
MAI.ROS/DIC22;07-06-2022;263,000000;264,000000;261,000000;265,300000;261,000000;199;261,500000;-0,570342;4285,000000;52,000000;87
MAI.ROS/DIC22;03-06-2022;256,000000;255,500000;254,700000;257,400000;256,500000;281;257,100000;0,429688;4207,000000;134,000000;139
MAI.ROS/DIC22;02-06-2022;259,000000;259,000000;256,000000;260,000000;256,000000;120;256,000000;-1,158301;4073,000000;75,000000;70
MAI.ROS/DIC22;31-05-2022;271,000000;268,000000;263,000000;268,000000;264,000000;107;264,000000;-2,583026;4004,000000;34,000000;78
MAI.ROS/DIC22;01-06-2022;264,000000;259,500000;257,000000;259,500000;259,000000;87;259,000000;-1,893939;3998,000000;-6,000000;58
MAI.ROS/DIC22;30-05-2022;272,000000;271,500000;270,600000;272,400000;271,000000;96;271,000000;-0,367647;3970,000000;50,000000;51
MAI.ROS/DIC22;27-05-2022;273,000000;275,300000;270,800000;275,500000;272,000000;216;272,000000;-0,366300;3920,000000;120,000000;129
MAI.ROS/DIC22;19-05-2022;269,600000;266,000000;266,000000;271,000000;269,000000;242;269,000000;-0,222552;3451,000000;111,000000;161
MAI.ROS/DIC22;17-05-2022;267,000000;265,500000;265,000000;269,500000;269,500000;129;269,600000;0,973783;3340,000000;86,000000;77
MAI.ROS/DIC22;24-05-2022;269,000000;265,500000;265,000000;271,000000;271,000000;228;271,600000;0,966543;3652,000000;37,000000;135
MAI.ROS/DIC22;26-05-2022;271,600000;273,000000;272,600000;275,000000;273,000000;377;273,000000;0,515464;3800,000000;148,000000;127
MAI.ROS/DIC22;20-05-2022;269,000000;272,500000;268,500000;272,500000;269,600000;248;269,600000;0,223048;3599,000000;148,000000;128
MAI.ROS/DIC22;23-05-2022;269,600000;270,500000;268,500000;270,500000;269,000000;59;269,000000;-0,222552;3615,000000;16,000000;38
